,Link,Text,Label
0,https://voxukraine.org/category/voks-informue/,рф завдала удару по ангарах з іноземною зброєю у ТЦ «Амстор» та на заводі «Кредмаш» у Кременчуці,False
1,https://voxukraine.org/category/voks-informue/,Відео роботи української артилерії на Луганщині у травні 2022 року,False
2,https://voxukraine.org/category/voks-informue/,"Українські «націоналісти» замінували корпус Фізико-технічного інституту в Харкові, де знаходилася експериментальна ядерна установка з реактором",False
3,https://voxukraine.org/category/voks-informue/,Військові 57 окремої мотопіхотної бригади ЗСУ склали зброю та перейшли на бік «ЛНР»,False
4,https://voxukraine.org/category/voks-informue/,Українські військові вбивали та піддавали тортурам цивільне населення Харківщини,False
5,https://voxukraine.org/category/voks-informue/,Польща планує «м’яку анексію» України,False
6,https://voxukraine.org/category/voks-informue/,"СБУ забирає у жителів Соледара паспорти, аби утримувати людей у місті та створити «живий щит»",False
7,https://voxukraine.org/category/voks-informue/,"Американські дрони Switchblade 300, які США постачають Україні, виставили на продаж в даркнеті",False
8,https://voxukraine.org/category/voks-informue/,"У Бучі українські військові обстрілювали будинки тих, хто брав допомогу від росіян",False
9,https://voxukraine.org/category/voks-informue/,"Велика Британія може визнати так звану «днр», якщо оскаржить смертний вирок двом британцям — Пєсков",False
10,https://voxukraine.org/category/voks-informue/,росія знищила всю хімічну зброю у 2017 році,False
11,https://voxukraine.org/category/voks-informue/,"CNN опублікувало фото сербського готелю, який начебто знаходиться в Україні",False
12,https://voxukraine.org/category/voks-informue/,ФОТОФото українських пасок із символікою полку «Азов»,False
13,https://voxukraine.org/category/voks-informue/,Російські військові розбігаються від удару ЗСУ – відео,False
14,https://voxukraine.org/category/voks-informue/,НАТО підійшли до кордонів росії — Макрон,False
15,https://voxukraine.org/category/voks-informue/,Україна готує провокацію на Центральному ринку в Лисичанську,False
16,https://voxukraine.org/category/voks-informue/,Біженця із України в торговому центрі у Великій Британії змусили прибрати намальовану ним свастику,False
17,https://voxukraine.org/category/voks-informue/,Мертва дівчина на фото з Бучі виявилася живою і спростувала свою смерть,False
18,https://voxukraine.org/category/voks-informue/,"Російський військовий власноруч знешкодив 9 мін, 2 бомби і забезпечив «успішний наступ»",False
19,https://voxukraine.org/category/voks-informue/,Україну «накачують» зброєю й утримують від мирних переговорів — Лавров,False
20,https://voxukraine.org/category/voks-informue/,Кіностудія Walt Disney визнала результати російського псевдореферендуму в Донецькій області,False
21,https://voxukraine.org/category/voks-informue/,США визнали свою допомогу Україні помилкою — The American Conservative,False
22,https://voxukraine.org/category/voks-informue/,Відео вибуху в Миколаєві 10 квітня 2022 року,False
23,https://voxukraine.org/category/voks-informue/,ФОТОНова обкладинка журналу Time із порівнянням Путіна та Гітлера,False
24,https://voxukraine.org/category/voks-informue/,Польська розвідка підготувала доповідь про катастрофічний стан ЗСУ,False
25,https://voxukraine.org/category/voks-informue/,"Усі телефонні розмови записуватимуть, а соцмережі будуть моніторити — нові правила комунікації",False
26,https://voxukraine.org/category/voks-informue/,Українських біженців в Іспанії змушують брати участь у дослідах та ставати донорами органів,False
27,https://voxukraine.org/category/voks-informue/,Затримання в Маріуполі командира українського полку «Азов» навесні 2022 року,False
28,https://voxukraine.org/category/voks-informue/,Медогляд українського полоненого із фашистськими татуюваннями — фото,False
29,https://voxukraine.org/category/voks-informue/,Повітряні сили росії збили український літак із західною зброєю над Одесою,False
30,https://voxukraine.org/category/voks-informue/,Українські військові збираються підірвати ємності з хлором на Слов’янській ТЕС,False
31,https://voxukraine.org/category/voks-informue/,Російська армія зайняла Ізюм на Харківщині,False
32,https://voxukraine.org/category/voks-informue/,Польки знову напали на українок — відео,False
33,https://voxukraine.org/category/voks-informue/,російська система ППО збила український літак над Одесою,False
34,https://voxukraine.org/category/voks-informue/,"(ОНОВЛЕНО) Карта, яка ілюструє намір Польщі привласнити західні області України",False
35,https://voxukraine.org/category/voks-informue/,Поранена дитина на фото не з Маріуполя — постраждалих вивозять лише в рф чи «днр»,False
36,https://voxukraine.org/category/voks-informue/,Масові поховання в Ізюмі — це «постановка» українських лікарів,False
37,https://voxukraine.org/category/voks-informue/,Українська сторона відкрила вогонь по евакуаційних коридорах на Сумщині та Запоріжжі,False
38,https://voxukraine.org/category/voks-informue/,Українські військові обстріляли Куренівку в Києві,False
39,https://voxukraine.org/category/voks-informue/,ФОТОУкраїнських біженців запросили пожити в колишньому німецькому концтаборі в Заксенхаузені,False
40,https://voxukraine.org/category/voks-informue/,Збройні Сили України завдали удару по колоні машин із цивільним населенням на околицях Запоріжжя,False
41,https://voxukraine.org/category/voks-informue/,Україна влаштовує екоцид на Донбасі,False
42,https://voxukraine.org/category/voks-informue/,Хілларі Клінтон закликає США передати Україні ядерну зброю,False
43,https://voxukraine.org/category/voks-informue/,За Статутом ООН мешканці тимчасово окупованих територій мають право голосувати на псевдореферендумах за приєднання до рф,False
44,https://voxukraine.org/category/voks-informue/,Українська влада навмисно заразила людей туберкульозом на окупованій Луганщині,False
45,https://voxukraine.org/category/voks-informue/,Зеленський наказав не використовувати «Байрактари» на передовій,False
46,https://voxukraine.org/category/voks-informue/,Заступник начальника поліції Києва має татуювання з нацистською символікою,False
47,https://voxukraine.org/category/voks-informue/,"Українські радикали розстріляли цивільних, що покидали Волноваху",False
48,https://voxukraine.org/category/voks-informue/,Українські військові готують провокацію на місці поховання померлих від чуми в Одесі,False
49,https://voxukraine.org/category/voks-informue/,Халук Байрактар порадив Сергію Пашинському воювати самостійно,False
50,https://voxukraine.org/category/voks-informue/,"Ексомбудсменка Людмила Денисова визнала, що поширювала фейки про російську армію за наказом української розвідки",False
51,https://voxukraine.org/category/voks-informue/,Військовий зачитує бійцям указ Зеленського наступати на Бєлгород — відео,False
52,https://voxukraine.org/category/voks-informue/,ФОТОНаречені разом із гостями використали нацистське вітання на весіллі в Україні,False
53,https://voxukraine.org/category/voks-informue/,"ФОТОДокумент Міноборони України про знищення даних українців, які співпрацювали з військовими лабораторіями США",False
54,https://voxukraine.org/category/voks-informue/,"Анджей Дуда, президент Польщі, є онуком Михайла Дуди, українського нациста",False
55,https://voxukraine.org/category/voks-informue/,ЗС РФ взяли у полон американського генерал-лейтенанта Роджера Клотьє-молодшого,False
56,https://voxukraine.org/category/voks-informue/,Україна продала ПТРК «Javelin» ісламським терористам,False
57,https://voxukraine.org/category/voks-informue/,"На Запорізькій АЕС немає російської військової техніки, рф не порушує норми міжнародного права",False
